leaderUserId,leaderMark,profilePhoto,nickName,yesterdayMaxFollowersNum,leaderParentUserId,referralCode,leaderLevel,followerYieldE8,countryCode,lastLeaderLevel,leaderLevelChangeTimeE3,userTag,metricValues,opStatus,currentFollowerCount,maxFollowerCount,linkCreateType,thirdPartyApplicationInfo,wsotRanking
45556348,CSQlqAgUn6gqwYm/uj+eUw==,https://s1.bycsi.com/fop/copytrade/7ab4c835-761d-4c45-a7cc-5d4b70cc0401.png,8bitanon,1,1964514,ZZM3M,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,NL,COPY_TRADE_LEADER_LEVEL_BRONZE_TRADER,1670042645900,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '1']",0,1,100,0,[],0
47287942,+7PjZ6U4tOzskSiqtHtGLQ==,https://s1.bycsi.com/fop/copytrade/64a36389-5f1a-4ffa-a2a8-78a866565731.png,RareCryptoMind,0,35008303,LVEKRM,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1670910726395,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
51010271,BqN2LoFm7Nr4SXS3Y/1JYA==,https://s1.bycsi.com/fop/copytrade/2b6ed7f9-e7e9-4f56-95f6-088428fb0c7e.jpg,Viet Nam top 1 ,0,49813864,JZL5ZL,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1674118542622,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
51477089,EoDKOszRPQmlUK+/KQWKCQ==,https://s1.bycsi.com/fop/copytrade/5def8ddf-9363-469c-8d3f-ea961a0a8643.png,MOTHER ,0,51319503,LXWMQ6,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,RU,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1674957362680,"[{'title': 'Low Frequency', 'hovelDesc': '', 'hovelTargetUserTag': [], 'id': '136748', 'tagType': 'USER_TAG_TYPE_NEUTRAL', 'tagId': '10'}]","['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
51777703,tKBcC7fI7X4VtKaRZImY5Q==,https://s1.bycsi.com/fop/copytrade/7af0bcaf-ce68-4b8c-8733-55e1c976e72a.jpg,sid_trading,1,51564298,VRAL7N,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1675612465774,"[{'title': 'Low Frequency', 'hovelDesc': '', 'hovelTargetUserTag': [], 'id': '141708', 'tagType': 'USER_TAG_TYPE_NEUTRAL', 'tagId': '10'}, {'title': 'Low Leverage', 'hovelDesc': '', 'hovelTargetUserTag': [], 'id': '141707', 'tagType': 'USER_TAG_TYPE_NEUTRAL', 'tagId': '12'}, {'title': 'Trend Trader', 'hovelDesc': '', 'hovelTargetUserTag': [], 'id': '141706', 'tagType': 'USER_TAG_TYPE_NEUTRAL', 'tagId': '14'}]","['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '1']",0,1,100,0,[],0
52399050,moVTy6kQ0dAiGM71Q/U9+Q==,https://s1.bycsi.com/fop/copytrade/801dce13-1f8e-47a4-93c7-d439f1cc2caf.png,sisicoucou64,0,29576464,JQOYYK#0,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,FR,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1675810366888,"[{'title': 'Trend Trader', 'hovelDesc': '', 'hovelTargetUserTag': [], 'id': '136856', 'tagType': 'USER_TAG_TYPE_NEUTRAL', 'tagId': '14'}]","['0.00%', '0.00', '0.00', '0.00%', '1.5/5.0', '0']",0,0,100,0,[],0
55773644,i2f2fWpb3Vq97CDuy/bAYQ==,https://s1.bycsi.com/fop/copytrade/f5246d75-7f6d-4d4d-8cb1-eb816b32eb98.png,isTrader,1,28429270,PQQXE4,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,JP,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1678719840506,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '1']",0,1,100,0,[],0
56945067,R4Rt/r8zjRoFNOGI6j8oAw==,https://s1.bycsi.com/fop/copytrade/c745462d-3a89-4e0b-8f0e-40413c8bcd78.jpg,King12,0,15887316,BN1JRX,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1678467618730,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
57154451,VHsUbzmskbr2VnASrQ3PFA==,https://s1.bycsi.com/fop/copytrade/9ae93ff6-3260-43de-bfc5-3baa9649a5e4.jpg,lampaAladdina,9,46925516,BQJVVO,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_BRONZE_TRADER,1687581941874,"[{'title': 'Low Frequency', 'hovelDesc': '', 'hovelTargetUserTag': [], 'id': '128529', 'tagType': 'USER_TAG_TYPE_NEUTRAL', 'tagId': '10'}, {'title': 'Trend Trader', 'hovelDesc': '', 'hovelTargetUserTag': [], 'id': '111583', 'tagType': 'USER_TAG_TYPE_NEUTRAL', 'tagId': '14'}]","['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '8']",0,8,100,0,[],0
58865148,gu3179+XPon8f270AQ+Y2w==,https://s1.bycsi.com/fop/copytrade/1eb11d28-d954-47a6-838a-94069530467d.jpeg,Bingxamir,0,58863580,3JNRAN,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,VN,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1679676653187,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
